Name,Result,Workers,Verdict,,Precision: 90/100,,,,,,,,,,Correct,Wrong
magshenny,Inconclusive,,Wrong,other,,,,,,,,,,,,
ThomTenery,other,,Correct,,,,,,,,,,,,,
AlJean,show,,Wrong,other,,,,,,,,,,,,
hrykmtst,other,,Correct,,,,,,,,,,,,,
All_Hail_Caesar,other,,Correct,,,,,,,,,,,,,
Naishuller,other,,Correct,,,,,,,,,,,,,
StrangerTTD,other,,Correct,,,,,,,,,,,,,
HuntsmanAbby,other,,Correct,,,,,,,,,,,,,
ericszmanda,other,,Correct,,,,,,,,,,,,,
playfuturama,other,,Correct,,,,,,,,,,,,,
TheRock,other,,Correct,,,,,,,,,,,,,
SkullIslandX,other,,Correct,,,,,,,,,,,,,
missjudygreer,other,,Correct,,,,,,,,,,,,,
KaitlinOlson,other,,Correct,,,,,,,,,,,,,
MarkBallas,other,,Correct,,,,,,,,,,,,,
13ReasonsWhyTV,show,,Correct,,,,,,,,,,,,,
AgentMulder47,other,,Correct,,,,,,,,,,,,,
OCSupertones,other,,Correct,,,,,,,,,,,,,
whalewars1,other,,Wrong,show,,,,,,,,,,,,
BeyondWestworld,show,,Correct,,,,,,,,,,,,,
merchantsdoubt,other,,Wrong,movie,,,,,,,,,,,,
truth_aid,show,,Correct,,,,,,,,,,,,,
Flapsthefirst,other,,Correct,,,,,,,,,,,,,
BretHart,Inconclusive,,Wrong,other,,,,,,,,,,,,
DespicableMe_2,movie,,Correct,,,,,,,,,,,,,
Williamson_Josh,other,,Correct,,,,,,,,,,,,,
NewsHour,show,,Correct,,,,,,,,,,,,,
karlmccartney,other,,Correct,,,,,,,,,,,,,
AmyFarrahFowler,other,,Correct,,,,,,,,,,,,,
laggies74,other,,Correct,,,,,,,,,,,,,
GiftMovie,movie,,Correct,,,,,,,,,,,,,
Barely_Lethal88,other,,Correct,,,,,,,,,,,,,
InsidiousMovie,movie,,Correct,,,,,,,,,,,,,
TravelTours43,other,,Correct,,,,,,,,,,,,,
DespicableMe__,Inconclusive,,Wrong,other,,,,,,,,,,,,
debikerboys,show,,Correct,,,,,,,,,,,,,
INChapter3,show,,Wrong,movie,,,,,,,,,,,,
OrphanBlack,show,,Correct,,,,,,,,,,,,,
HaltAMC,show,,Correct,,,,,,,,,,,,,
DeadpoolMovie4,movie,,Correct,,,,,,,,,,,,,
ScaryMovieMania,other,,Correct,,,,,,,,,,,,,
DespicableMe,movie,,Correct,,,,,,,,,,,,,
Brod_Trip,other,,Correct,,,,,,,,,,,,,
JoshMalina,other,,Correct,,,,,,,,,,,,,
AlaskanBrewing,other,,Correct,,,,,,,,,,,,,
sptwtps,other,,Correct,,,,,,,,,,,,,
TRAEABN,other,,Correct,,,,,,,,,,,,,
SeinfeldQ,show,,Correct,,,,,,,,,,,,,
InsidiousGG,other,,Correct,,,,,,,,,,,,,
RainiRodFans01,other,,Correct,,,,,,,,,,,,,
SouthParkTVF,show,,Correct,,,,,,,,,,,,,
ErikGriffin,other,,Correct,,,,,,,,,,,,,
ajcookofficial,Inconclusive,,Wrong,other,,,,,,,,,,,,
rina_johns,other,,Correct,,,,,,,,,,,,,
